Season,House_Type,Electricity_Provider,Income_Level,City_Area,Family_Members,AC_Usage_Hours,Heater_Usage_Hours,WashingMachine_Use,Fridge_Count,Other_Appliances,Avg_Daily_Usage,Units_Consumed,Monthly_Bill
Summer,Independent,PSPCL,Medium,Urban,6.0,3.5,4.1,0.0,2.0,6.0,10.8,915.0,4160.0
Rainy,Rented Room,PSPCL,Low,Urban,3.0,,0.3,3.0,1.0,5.0,6.1,202.0,1378.0
Winter,Independent,Private,High,SemiUrban,4.0,1.3,0.2,3.0,1.0,,,222.0,1637.0
Summer,,Generator Backup,Low,SemiUrban,1.0,5.4,2.4,4.0,2.0,2.0,11.5,331.0,
,PG,Society,Low,SemiUrban,4.0,1.4,4.2,1.0,1.0,2.0,9.0,,1300.0
Summer,PG,Society,High,Rural,7.0,5.6,1.2,2.0,2.0,2.0,9.0,258.0,1824.0
Rainy,PG,Private,High,Urban,1.0,1.8,3.8,2.0,2.0,2.0,7.1,162.0,1177.0
Winter,PG,Generator Backup,Medium,Rural,5.0,,1.6,2.0,2.0,4.0,,213.0,1468.0
Summer,Apartment,Society,High,SemiUrban,2.0,1.3,5.3,0.0,1.0,6.0,11.7,228.0,1557.0
Spring,PG,PSPCL,Medium,Rural,5.0,0.0,5.4,3.0,2.0,5.0,10.0,207.0,1460.0
Summer,Kothi,,Medium,Urban,5.0,5.7,1.8,1.0,1.0,4.0,8.6,240.0,1734.0
Summer,Kothi,PSPCL,Medium,Urban,4.0,5.9,1.4,0.0,2.0,4.0,8.5,245.0,1704.0
Rainy,Apartment,Private,High,SemiUrban,7.0,4.1,2.5,3.0,2.0,1.0,10.6,247.0,1742.0
Rainy,PG,PSPCL,Low,SemiUrban,2.0,1.3,1.4,3.0,1.0,1.0,7.9,146.0,1039.0
Winter,PG,Society,Medium,Rural,1.0,0.7,,5.0,2.0,1.0,10.2,199.0,1440.0
Spring,PG,Society,Low,SemiUrban,1.0,,5.0,5.0,2.0,3.0,7.6,196.0,1447.0
Rainy,Rented Room,Society,Low,SemiUrban,6.0,1.3,4.0,1.0,1.0,,3.6,166.0,1207.0
Summer,Independent,Private,High,Urban,3.0,7.1,4.9,1.0,1.0,5.0,6.5,648.0,2926.0
Winter,Rented Room,Private,Low,SemiUrban,6.0,1.9,2.4,1.0,1.0,4.0,7.0,176.0,1208.0
Summer,Independent,Generator Backup,Low,SemiUrban,6.0,2.8,0.9,0.0,2.0,5.0,4.3,114.0,832.0
Summer,PG,Society,High,Urban,1.0,0.8,4.4,4.0,1.0,6.0,3.9,160.0,1182.0
Rainy,PG,PSPCL,Medium,Urban,,1.8,2.2,1.0,1.0,1.0,7.8,166.0,1145.0
Winter,Rented Room,,Low,Rural,5.0,4.2,4.0,5.0,2.0,3.0,3.8,216.0,
,Rented Room,Society,High,SemiUrban,7.0,,1.6,4.0,1.0,6.0,5.7,225.0,1626.0
Spring,Independent,,Low,Urban,5.0,2.0,0.5,0.0,2.0,3.0,9.7,199.0,1378.0
Rainy,Kothi,Private,Low,Rural,5.0,0.5,,4.0,2.0,6.0,11.7,306.0,2074.0
Rainy,Independent,Generator Backup,Medium,Rural,2.0,3.1,0.9,2.0,1.0,4.0,9.5,173.0,1222.0
Winter,Rented Room,Private,Low,SemiUrban,1.0,1.9,5.9,4.0,2.0,5.0,11.9,248.0,1712.0
Spring,Rented Room,Private,High,SemiUrban,7.0,1.8,5.9,1.0,1.0,2.0,9.3,,3504.0
Spring,Apartment,PSPCL,Low,Rural,4.0,7.7,4.8,0.0,1.0,5.0,5.6,234.0,1689.0
Spring,Rented Room,PSPCL,Medium,Urban,2.0,4.9,4.0,1.0,1.0,1.0,9.0,258.0,1821.0
Summer,Apartment,Generator Backup,Medium,Rural,3.0,,3.5,5.0,1.0,2.0,9.3,291.0,2010.0
Spring,Kothi,Society,High,SemiUrban,4.0,3.3,,,2.0,3.0,6.3,202.0,1436.0
Summer,Independent,Private,Medium,Urban,6.0,3.4,1.7,5.0,2.0,4.0,3.2,161.0,1176.0
Winter,Independent,Generator Backup,Low,Urban,4.0,4.3,2.8,,1.0,4.0,9.3,227.0,1592.0
Summer,Apartment,PSPCL,Medium,Rural,4.0,5.6,3.7,1.0,1.0,3.0,3.2,189.0,1428.0
Winter,Independent,Private,High,SemiUrban,,5.6,2.5,1.0,2.0,1.0,8.7,253.0,1770.0
,Rented Room,Society,Medium,Rural,4.0,1.4,,3.0,1.0,3.0,4.5,100.0,815.0
Spring,PG,PSPCL,Medium,Rural,6.0,4.0,2.0,2.0,2.0,,8.1,204.0,1381.0
Winter,Apartment,PSPCL,Medium,Rural,6.0,3.3,3.4,1.0,1.0,1.0,7.5,203.0,1444.0
Rainy,Independent,PSPCL,,Urban,1.0,7.0,5.1,1.0,2.0,,3.1,190.0,1372.0
Winter,Apartment,Generator Backup,Medium,Urban,4.0,5.1,1.2,5.0,2.0,3.0,6.3,167.0,1138.0
Rainy,Apartment,Society,Medium,SemiUrban,5.0,4.3,5.6,5.0,2.0,1.0,,249.0,1720.0
,PG,Private,Low,SemiUrban,4.0,0.9,4.1,1.0,1.0,2.0,10.6,184.0,1319.0
Summer,Rented Room,Generator Backup,High,Rural,3.0,4.8,,0.0,1.0,3.0,11.0,266.0,1903.0
Summer,Apartment,,Medium,Rural,3.0,0.9,3.3,3.0,1.0,4.0,7.4,166.0,1193.0
Spring,,Generator Backup,High,Rural,5.0,2.7,4.7,5.0,1.0,3.0,,255.0,1758.0
Summer,Kothi,PSPCL,Medium,SemiUrban,1.0,1.1,0.1,0.0,1.0,5.0,5.8,108.0,827.0
Rainy,Apartment,Society,Medium,Urban,1.0,5.5,4.9,3.0,2.0,,6.1,250.0,1816.0
Summer,Apartment,Generator Backup,Medium,Urban,6.0,1.7,0.2,1.0,2.0,5.0,4.8,126.0,957.0
Winter,PG,Private,Low,Rural,6.0,3.1,5.3,2.0,2.0,2.0,8.1,,1714.0
Winter,Rented Room,Society,Low,Rural,2.0,7.2,6.0,4.0,2.0,3.0,5.8,262.0,1820.0
Spring,Kothi,Private,Low,Rural,5.0,1.6,1.8,4.0,2.0,2.0,3.8,130.0,1032.0
Winter,Independent,Society,High,Rural,4.0,4.1,,1.0,2.0,2.0,9.2,179.0,1328.0
Rainy,Kothi,Private,High,SemiUrban,7.0,3.4,4.6,5.0,,,9.4,280.0,1926.0
Summer,Independent,PSPCL,,Urban,5.0,0.1,1.5,0.0,1.0,2.0,6.2,132.0,973.0
Spring,Rented Room,Generator Backup,High,Rural,2.0,6.3,5.2,2.0,2.0,2.0,3.7,244.0,1725.0
Summer,Independent,Private,,SemiUrban,6.0,0.6,0.6,3.0,1.0,3.0,6.8,146.0,1048.0
Summer,PG,Society,Medium,Rural,5.0,3.8,0.8,1.0,2.0,3.0,,192.0,1311.0
Rainy,PG,Generator Backup,Medium,Rural,5.0,4.5,5.9,2.0,2.0,4.0,9.0,218.0,1482.0
Winter,PG,Generator Backup,Low,Urban,6.0,5.0,4.0,2.0,,1.0,5.8,222.0,1534.0
Winter,PG,Society,High,Rural,2.0,5.5,5.1,5.0,,2.0,9.1,284.0,
Summer,Kothi,Private,Low,Urban,6.0,2.0,1.9,3.0,1.0,1.0,10.8,262.0,1774.0
,Rented Room,PSPCL,High,Urban,1.0,0.1,4.1,2.0,2.0,5.0,5.1,133.0,982.0
Winter,Independent,PSPCL,Medium,Urban,4.0,5.8,3.6,5.0,1.0,2.0,11.8,334.0,2239.0
Spring,Independent,Private,Low,SemiUrban,,4.3,3.6,0.0,2.0,1.0,6.5,217.0,
Winter,PG,Generator Backup,High,SemiUrban,2.0,6.7,4.1,5.0,,4.0,,257.0,1792.0
Spring,PG,Generator Backup,High,Urban,3.0,6.6,3.5,0.0,1.0,4.0,6.8,261.0,1892.0
,Apartment,Generator Backup,Medium,Rural,1.0,6.7,2.6,0.0,2.0,2.0,3.8,131.0,1044.0
,Rented Room,Generator Backup,Low,Urban,3.0,3.9,1.7,,2.0,5.0,4.1,159.0,1136.0
Rainy,Kothi,Private,Low,Rural,7.0,2.7,4.6,5.0,,4.0,6.7,264.0,1877.0
Rainy,Independent,Generator Backup,Low,Urban,6.0,6.3,1.4,0.0,2.0,4.0,9.9,219.0,1490.0
Spring,Apartment,Society,Medium,Rural,1.0,3.6,4.2,3.0,1.0,5.0,11.1,275.0,1954.0
Rainy,Apartment,Generator Backup,Low,SemiUrban,4.0,1.5,1.4,2.0,2.0,1.0,9.0,165.0,1206.0
Summer,Independent,PSPCL,Medium,Rural,6.0,6.8,3.8,5.0,1.0,4.0,3.9,259.0,1872.0
Rainy,Kothi,Generator Backup,Medium,Urban,4.0,7.1,4.5,5.0,2.0,3.0,9.0,304.0,2064.0
Winter,Apartment,Private,Medium,SemiUrban,5.0,3.7,1.3,,1.0,6.0,8.7,249.0,1772.0
Spring,Apartment,PSPCL,High,Rural,3.0,0.6,0.4,5.0,2.0,6.0,10.3,186.0,1326.0
Summer,Rented Room,Private,Low,Rural,,3.1,0.8,2.0,1.0,4.0,10.4,217.0,1484.0
Spring,,Private,,Rural,4.0,6.4,3.6,3.0,1.0,1.0,10.8,314.0,2213.0
Winter,Apartment,PSPCL,Medium,Rural,2.0,7.2,5.1,5.0,2.0,1.0,6.7,274.0,1951.0
Winter,Kothi,Private,Medium,,4.0,1.6,0.3,4.0,2.0,2.0,9.3,603.0,2832.0
Winter,Independent,Private,Low,SemiUrban,2.0,0.5,4.4,2.0,1.0,3.0,5.4,129.0,988.0
Rainy,PG,Generator Backup,Medium,SemiUrban,6.0,7.0,2.0,0.0,1.0,1.0,12.0,300.0,2050.0
Rainy,Apartment,Society,Low,SemiUrban,1.0,3.1,2.9,1.0,1.0,5.0,4.6,,1044.0
Spring,Rented Room,Private,High,SemiUrban,4.0,4.3,5.6,1.0,1.0,3.0,3.1,204.0,1512.0
Spring,Independent,Private,Medium,Urban,7.0,7.7,2.0,0.0,2.0,,4.3,233.0,1566.0
Summer,Kothi,Private,,SemiUrban,4.0,0.5,2.8,5.0,1.0,3.0,10.0,215.0,1452.0
Summer,Independent,Generator Backup,Medium,Rural,7.0,5.2,0.1,1.0,,5.0,7.0,192.0,1383.0
Spring,Apartment,Society,Low,Rural,1.0,0.6,0.5,1.0,1.0,4.0,7.0,86.0,741.0
Rainy,Kothi,PSPCL,Low,SemiUrban,4.0,3.0,1.6,0.0,2.0,5.0,11.6,223.0,1566.0
Winter,,Generator Backup,Medium,Rural,2.0,6.4,0.2,5.0,,5.0,11.3,271.0,1820.0
Spring,Independent,Generator Backup,High,SemiUrban,4.0,3.5,3.8,5.0,2.0,4.0,5.8,183.0,1332.0
,Apartment,Society,Low,Rural,3.0,8.0,2.6,0.0,2.0,4.0,4.9,193.0,1454.0
Rainy,Rented Room,Society,Low,Urban,6.0,4.5,3.3,,2.0,4.0,10.6,,2332.0
Spring,Kothi,Generator Backup,Low,Urban,5.0,2.6,1.0,5.0,2.0,4.0,11.2,235.0,1702.0
Spring,Independent,PSPCL,High,SemiUrban,2.0,1.8,1.8,2.0,2.0,4.0,7.9,187.0,1326.0
Rainy,Independent,Generator Backup,High,SemiUrban,3.0,2.8,4.0,2.0,2.0,5.0,8.7,,1465.0
Spring,PG,Society,,SemiUrban,7.0,3.0,5.8,0.0,,2.0,5.3,226.0,1528.0
Rainy,PG,PSPCL,High,Rural,6.0,0.5,0.3,,1.0,2.0,10.2,210.0,1548.0
Winter,Rented Room,Society,Medium,SemiUrban,,3.0,5.3,1.0,1.0,1.0,8.7,199.0,1404.0
Rainy,Rented Room,,Medium,Urban,2.0,3.7,3.5,2.0,2.0,2.0,7.5,167.0,1248.0
Rainy,Apartment,Private,High,Rural,,5.8,3.4,1.0,1.0,6.0,3.5,158.0,1209.0
Rainy,Apartment,Society,Medium,SemiUrban,6.0,5.3,3.0,4.0,1.0,2.0,11.2,290.0,2056.0
Spring,Rented Room,Society,High,Rural,7.0,5.7,0.4,0.0,2.0,5.0,8.5,264.0,1888.0
Spring,Rented Room,Generator Backup,Medium,Rural,5.0,0.1,0.5,3.0,1.0,,4.7,104.0,788.0
Rainy,Kothi,Society,High,SemiUrban,1.0,1.7,3.6,4.0,2.0,4.0,8.5,203.0,1480.0
Spring,PG,Society,High,Rural,1.0,5.3,2.0,4.0,,5.0,9.1,272.0,1906.0
Summer,Apartment,Private,Medium,Urban,7.0,3.9,,5.0,2.0,6.0,7.7,283.0,1940.0
Summer,PG,Society,Low,Urban,2.0,0.0,2.4,4.0,2.0,2.0,9.5,182.0,1364.0
Spring,PG,Private,Medium,Rural,7.0,6.4,,0.0,1.0,5.0,8.2,251.0,1784.0
Spring,Rented Room,Private,High,SemiUrban,4.0,6.2,4.3,2.0,1.0,1.0,11.5,316.0,2226.0
Rainy,Kothi,Private,Low,Rural,1.0,,1.8,0.0,2.0,4.0,3.5,129.0,936.0
Winter,Independent,Private,Medium,Urban,6.0,0.5,3.2,2.0,2.0,3.0,4.0,119.0,854.0
Spring,Kothi,PSPCL,Medium,Rural,4.0,,4.2,4.0,2.0,1.0,4.6,242.0,1742.0
Summer,Kothi,Generator Backup,Medium,,3.0,4.7,5.4,4.0,1.0,6.0,9.2,304.0,2124.0
Rainy,PG,PSPCL,Low,Urban,5.0,6.3,4.8,3.0,1.0,1.0,8.8,333.0,2288.0
Spring,Kothi,Society,High,Rural,4.0,6.0,4.1,2.0,1.0,5.0,11.0,305.0,2066.0
Summer,Apartment,PSPCL,Medium,Rural,5.0,6.4,4.1,4.0,1.0,2.0,,324.0,2225.0
Summer,PG,PSPCL,Medium,SemiUrban,7.0,4.1,5.7,5.0,2.0,4.0,7.6,290.0,2044.0
Winter,Apartment,Society,Medium,SemiUrban,4.0,1.1,1.8,1.0,2.0,6.0,11.9,204.0,1391.0
Rainy,Independent,Society,Medium,Urban,7.0,,0.0,3.0,2.0,6.0,5.4,215.0,1506.0
,PG,Society,Medium,Urban,,5.0,1.6,0.0,2.0,3.0,10.5,256.0,1732.0
Winter,Independent,PSPCL,High,Urban,1.0,5.9,1.3,3.0,1.0,1.0,6.8,194.0,1405.0
Winter,PG,PSPCL,High,SemiUrban,3.0,1.4,4.0,1.0,2.0,3.0,8.8,161.0,1208.0
Rainy,Rented Room,Society,Medium,Urban,1.0,1.6,3.8,2.0,2.0,2.0,9.5,186.0,1299.0
Rainy,Kothi,Generator Backup,Low,Urban,7.0,7.1,,0.0,1.0,2.0,8.7,286.0,1989.0
Spring,Rented Room,Generator Backup,High,Urban,1.0,6.0,0.1,0.0,1.0,3.0,4.3,165.0,1224.0
Spring,Independent,Private,Low,SemiUrban,5.0,7.3,4.4,2.0,2.0,4.0,7.0,259.0,1786.0
Winter,,Society,High,Rural,6.0,6.1,1.9,3.0,1.0,2.0,8.1,212.0,1522.0
Spring,PG,Private,Medium,Urban,3.0,4.8,4.0,4.0,2.0,3.0,10.6,276.0,1990.0
Summer,Kothi,,High,Rural,4.0,5.2,3.3,3.0,1.0,1.0,7.0,235.0,1638.0
Spring,Apartment,Private,Medium,Urban,3.0,7.1,2.1,1.0,1.0,3.0,11.3,263.0,1858.0
Spring,Kothi,Society,High,Rural,5.0,4.6,0.8,5.0,2.0,3.0,7.0,211.0,1514.0
,Apartment,Society,Medium,SemiUrban,1.0,5.1,0.6,4.0,1.0,5.0,,232.0,1622.0
,Kothi,,Medium,SemiUrban,5.0,1.3,5.0,3.0,2.0,2.0,10.2,242.0,1690.0
Summer,Apartment,PSPCL,Medium,Urban,2.0,3.8,5.5,5.0,1.0,4.0,8.2,267.0,1812.0
Spring,Independent,,Medium,Rural,2.0,5.7,3.9,5.0,1.0,4.0,11.6,307.0,2062.0
Winter,Rented Room,Generator Backup,Low,SemiUrban,4.0,2.2,0.6,2.0,,5.0,8.9,167.0,1160.0
Spring,PG,Generator Backup,Medium,Urban,5.0,1.6,2.4,1.0,1.0,6.0,7.7,166.0,1232.0
Summer,Kothi,Generator Backup,,Urban,7.0,2.5,4.4,1.0,1.0,4.0,3.2,173.0,1320.0
Summer,Rented Room,PSPCL,Low,SemiUrban,4.0,1.9,4.7,1.0,2.0,3.0,6.7,154.0,1105.0
,PG,PSPCL,Medium,SemiUrban,7.0,1.7,0.7,4.0,,5.0,5.7,201.0,
Rainy,PG,Society,Low,Urban,4.0,3.4,0.0,0.0,2.0,1.0,9.7,199.0,
Rainy,Apartment,Generator Backup,High,Rural,,7.3,4.3,4.0,1.0,2.0,4.9,243.0,1762.0
Summer,Independent,PSPCL,Medium,Rural,4.0,4.1,2.1,3.0,2.0,2.0,4.8,200.0,1478.0
Summer,Independent,Society,Low,Rural,2.0,1.5,1.5,5.0,,2.0,4.7,168.0,1149.0
Rainy,Rented Room,Generator Backup,Medium,Urban,1.0,0.6,0.1,5.0,2.0,3.0,4.1,98.0,737.0
Rainy,Independent,Private,Medium,SemiUrban,7.0,5.6,3.2,0.0,2.0,1.0,5.8,216.0,1538.0
Spring,,Society,Medium,,5.0,3.1,,3.0,1.0,5.0,11.0,308.0,2076.0
Spring,Independent,PSPCL,Low,SemiUrban,4.0,6.6,5.7,0.0,1.0,5.0,10.0,338.0,
Rainy,Rented Room,PSPCL,High,Rural,2.0,5.3,3.4,5.0,1.0,,9.6,279.0,1956.0
Spring,Independent,Society,High,Rural,3.0,6.4,3.1,4.0,2.0,1.0,10.2,273.0,1940.0
Spring,Kothi,Society,Low,SemiUrban,,2.2,0.5,1.0,2.0,1.0,5.4,408.0,2142.0
Winter,Apartment,PSPCL,Medium,SemiUrban,4.0,5.5,3.3,5.0,,1.0,11.0,328.0,2237.0
Spring,Rented Room,Private,Low,Urban,6.0,2.1,2.3,2.0,1.0,4.0,4.2,130.0,906.0
Summer,Apartment,Generator Backup,Low,Rural,1.0,7.5,3.6,1.0,2.0,4.0,6.0,229.0,1658.0
Spring,Apartment,Private,Low,Urban,1.0,5.1,2.3,5.0,2.0,2.0,8.3,250.0,1745.0
Spring,Apartment,,Medium,Urban,3.0,2.6,1.4,4.0,1.0,1.0,3.9,128.0,
Rainy,PG,Private,,Urban,2.0,2.2,0.6,0.0,2.0,6.0,9.6,186.0,
Summer,PG,PSPCL,Medium,Rural,4.0,1.5,1.9,1.0,1.0,1.0,6.5,161.0,1220.0
Spring,Apartment,Society,Low,Urban,7.0,5.6,0.6,4.0,1.0,5.0,10.1,318.0,2126.0
Spring,Rented Room,Generator Backup,High,,2.0,1.7,1.1,3.0,1.0,5.0,7.4,175.0,1218.0
Winter,Kothi,PSPCL,Low,Urban,1.0,4.8,5.9,2.0,2.0,2.0,4.6,,2662.0
Spring,,PSPCL,Low,Urban,2.0,2.1,2.7,1.0,2.0,6.0,9.6,202.0,1432.0
Spring,Independent,Generator Backup,High,Urban,1.0,5.3,3.2,0.0,2.0,1.0,5.3,200.0,1366.0
Winter,Rented Room,Generator Backup,Medium,Urban,2.0,6.5,5.2,3.0,2.0,6.0,7.4,293.0,2004.0
Rainy,PG,Private,Medium,,3.0,6.2,6.0,,1.0,2.0,3.7,229.0,1574.0
Spring,Apartment,Society,Low,Urban,5.0,6.1,3.5,2.0,2.0,5.0,8.6,253.0,1812.0
Winter,Independent,Generator Backup,High,SemiUrban,3.0,1.5,4.9,0.0,1.0,5.0,9.0,172.0,1247.0
Summer,Kothi,Generator Backup,Medium,,3.0,0.7,2.0,4.0,1.0,4.0,6.4,186.0,
Rainy,PG,Society,Low,,5.0,5.6,1.8,4.0,1.0,2.0,11.6,311.0,2204.0
Summer,PG,Generator Backup,High,Rural,5.0,2.9,2.4,1.0,2.0,2.0,10.9,215.0,1570.0
Summer,Apartment,Generator Backup,Medium,Rural,4.0,3.5,4.0,1.0,1.0,1.0,,236.0,1618.0
Winter,Kothi,,Medium,,7.0,0.2,4.1,0.0,1.0,1.0,9.4,189.0,1310.0
Spring,Rented Room,PSPCL,High,SemiUrban,7.0,2.1,1.9,5.0,2.0,4.0,5.3,170.0,1172.0
Winter,PG,PSPCL,High,Rural,4.0,0.3,0.8,5.0,1.0,3.0,8.9,180.0,1232.0
Winter,Apartment,PSPCL,High,Rural,3.0,7.0,3.8,4.0,2.0,6.0,4.8,251.0,1770.0
,Rented Room,PSPCL,High,Urban,3.0,1.9,0.8,1.0,2.0,3.0,4.3,150.0,1134.0
Winter,Kothi,Generator Backup,Low,Rural,1.0,4.5,,2.0,2.0,3.0,12.0,254.0,1701.0
Rainy,PG,,High,SemiUrban,1.0,0.3,4.2,2.0,1.0,2.0,8.6,137.0,1002.0
Spring,Rented Room,Society,Medium,Urban,7.0,,4.2,4.0,2.0,6.0,6.9,250.0,1708.0
Summer,Rented Room,Private,Medium,SemiUrban,4.0,,4.5,1.0,2.0,2.0,5.6,161.0,1198.0
Summer,Rented Room,,Low,Urban,6.0,7.2,5.2,0.0,2.0,6.0,8.4,,1892.0
Spring,PG,Generator Backup,Medium,Rural,6.0,7.1,3.0,0.0,2.0,5.0,3.4,186.0,1386.0
Summer,PG,Society,Medium,SemiUrban,4.0,2.6,,0.0,1.0,2.0,3.9,166.0,1135.0
Spring,Independent,Society,High,Urban,1.0,7.2,3.7,2.0,2.0,2.0,3.3,183.0,1294.0
Summer,Kothi,PSPCL,,Urban,,8.0,1.1,1.0,1.0,2.0,7.5,264.0,1845.0
Winter,Apartment,Generator Backup,Low,Rural,7.0,6.6,0.2,1.0,2.0,4.0,8.4,285.0,1914.0
Summer,Rented Room,Generator Backup,High,Rural,1.0,6.8,1.7,2.0,1.0,2.0,3.6,194.0,1455.0
Spring,Independent,PSPCL,High,Rural,6.0,2.0,2.7,0.0,2.0,1.0,9.5,210.0,1462.0
Spring,Apartment,Generator Backup,Low,SemiUrban,2.0,4.6,3.7,0.0,1.0,1.0,5.1,214.0,1466.0
Spring,Independent,Generator Backup,High,Urban,2.0,0.5,5.1,4.0,2.0,6.0,9.2,236.0,1695.0
Spring,PG,Private,High,Rural,1.0,0.8,1.2,5.0,1.0,5.0,11.8,222.0,1614.0
Spring,Rented Room,Society,,SemiUrban,2.0,8.0,0.8,3.0,1.0,4.0,9.2,266.0,1790.0
Rainy,Apartment,Generator Backup,High,SemiUrban,5.0,2.6,5.8,5.0,,6.0,10.9,292.0,2096.0
Rainy,Apartment,Private,Low,SemiUrban,4.0,6.0,0.6,1.0,2.0,1.0,11.5,261.0,1788.0
Summer,Apartment,Society,Low,Rural,4.0,6.5,2.9,1.0,1.0,4.0,7.4,235.0,1638.0
Spring,Apartment,PSPCL,Medium,Rural,1.0,6.9,3.5,1.0,1.0,4.0,9.3,267.0,1842.0
Summer,Apartment,Private,Medium,Urban,3.0,8.0,3.2,5.0,1.0,5.0,10.7,342.0,2306.0
,Independent,Private,High,Urban,6.0,1.9,0.5,3.0,1.0,4.0,6.2,137.0,
Spring,Rented Room,Society,High,Rural,1.0,0.3,0.3,4.0,2.0,2.0,5.4,142.0,1081.0
,PG,PSPCL,Low,SemiUrban,2.0,3.3,0.6,5.0,1.0,4.0,11.5,252.0,1722.0
Rainy,PG,Private,High,SemiUrban,6.0,1.0,3.5,3.0,1.0,5.0,9.5,213.0,1448.0
Winter,PG,Generator Backup,Low,,3.0,0.2,3.3,0.0,,6.0,5.0,115.0,822.0
Rainy,PG,Generator Backup,Low,Urban,2.0,2.9,1.4,,2.0,5.0,7.0,170.0,1213.0
Winter,Independent,Generator Backup,High,SemiUrban,7.0,6.3,3.8,1.0,1.0,5.0,10.2,269.0,1876.0
Winter,Kothi,PSPCL,Low,Urban,5.0,4.5,4.9,2.0,1.0,,7.9,250.0,1760.0
Winter,Rented Room,Private,,Urban,2.0,2.5,0.2,,1.0,2.0,8.8,139.0,1086.0
Winter,Apartment,Generator Backup,High,SemiUrban,5.0,5.2,3.0,2.0,1.0,1.0,9.8,320.0,2217.0
Winter,Kothi,,Medium,SemiUrban,6.0,1.9,,3.0,,6.0,8.6,229.0,1686.0
Summer,PG,Generator Backup,High,Rural,5.0,0.1,1.5,0.0,1.0,3.0,7.9,113.0,854.0
Rainy,Kothi,Society,,Rural,6.0,6.1,,5.0,1.0,,9.7,368.0,2562.0
Winter,Rented Room,Private,High,SemiUrban,6.0,5.0,3.7,2.0,2.0,2.0,9.5,261.0,1838.0
Spring,Apartment,Private,Medium,Urban,6.0,6.1,5.4,3.0,2.0,4.0,8.7,300.0,2095.0
,Apartment,PSPCL,Low,Urban,6.0,0.3,4.9,0.0,2.0,5.0,6.2,155.0,
Rainy,Rented Room,PSPCL,High,Urban,6.0,6.7,3.5,5.0,1.0,3.0,6.7,269.0,1850.0
Winter,Rented Room,Private,High,Urban,,5.0,4.4,2.0,2.0,2.0,11.7,290.0,1993.0
Summer,PG,Generator Backup,High,Urban,6.0,4.5,,1.0,1.0,,4.0,131.0,970.0
Winter,Apartment,Generator Backup,Medium,,2.0,5.0,3.8,1.0,2.0,5.0,5.4,218.0,1598.0
Summer,Kothi,Society,Medium,SemiUrban,6.0,6.9,2.8,1.0,1.0,6.0,7.4,236.0,1669.0
Spring,Independent,Generator Backup,High,Rural,5.0,4.7,1.1,3.0,2.0,1.0,10.5,248.0,1679.0
Rainy,Independent,PSPCL,Low,Urban,7.0,4.6,4.2,1.0,1.0,2.0,,223.0,1580.0
Spring,Rented Room,PSPCL,Low,Urban,6.0,7.9,3.3,4.0,2.0,2.0,5.5,275.0,1950.0
Summer,PG,Generator Backup,Medium,Urban,3.0,6.1,2.2,0.0,1.0,6.0,3.6,168.0,1165.0
Summer,Independent,PSPCL,Low,Urban,6.0,3.5,5.5,3.0,1.0,3.0,9.4,254.0,1766.0
Spring,Apartment,Private,Medium,SemiUrban,6.0,5.7,0.1,5.0,1.0,6.0,5.1,260.0,1880.0
Summer,Rented Room,,High,Urban,5.0,3.1,1.9,1.0,1.0,4.0,6.5,187.0,1326.0
Spring,Kothi,Generator Backup,Medium,SemiUrban,4.0,1.8,0.3,0.0,1.0,1.0,7.0,112.0,831.0
Rainy,Rented Room,,Medium,Urban,5.0,4.8,4.6,2.0,1.0,3.0,11.0,295.0,2110.0
Spring,Kothi,Private,High,SemiUrban,3.0,7.4,4.2,1.0,1.0,5.0,6.7,,1694.0
Rainy,Rented Room,Society,Low,Rural,4.0,7.4,2.0,0.0,1.0,4.0,4.3,237.0,1626.0
Spring,Rented Room,Society,Medium,Urban,1.0,2.7,4.1,4.0,2.0,3.0,7.7,215.0,1484.0
Summer,Rented Room,Private,Medium,SemiUrban,1.0,4.2,2.4,2.0,1.0,1.0,11.7,,1668.0
Spring,Kothi,Generator Backup,High,Rural,3.0,1.7,4.5,4.0,1.0,2.0,8.5,233.0,1598.0
Summer,Kothi,Society,Low,,5.0,8.0,2.7,5.0,2.0,5.0,11.9,349.0,2442.0
Spring,Rented Room,PSPCL,Medium,Urban,2.0,7.8,2.5,0.0,1.0,6.0,10.6,759.0,3424.0
Spring,Independent,PSPCL,High,Urban,3.0,5.2,5.6,4.0,2.0,1.0,3.3,228.0,1653.0
Winter,PG,PSPCL,Medium,SemiUrban,7.0,6.4,1.5,5.0,1.0,4.0,8.9,300.0,2047.0
Summer,PG,Generator Backup,High,SemiUrban,4.0,5.7,0.7,0.0,2.0,4.0,,202.0,1379.0
,PG,Private,Low,Rural,4.0,4.7,3.5,0.0,2.0,2.0,8.0,,1634.0
Summer,Kothi,PSPCL,,SemiUrban,6.0,0.4,5.8,4.0,1.0,2.0,5.5,194.0,1367.0
Winter,Kothi,Generator Backup,Low,SemiUrban,1.0,3.6,2.3,0.0,2.0,5.0,6.1,158.0,1084.0
Rainy,,Society,,Urban,4.0,5.4,0.4,1.0,1.0,6.0,11.3,281.0,2004.0
Spring,PG,Private,Medium,,3.0,5.4,2.0,0.0,1.0,5.0,4.9,169.0,1264.0
Summer,PG,Society,Medium,Urban,4.0,3.0,3.0,3.0,1.0,2.0,10.9,259.0,1788.0
